"";"n";"fig1_main_rows_removed";"fig1c_lr_cleaned";"mon6_dg";"nork62398";"p6_smith_dg";"shep_071795";"unknown26"
"84";83;1,00393700787402;0,0604395604395604;0,958333333333333;0,116666666666667;0,145833333333333;1,30909090909091;0,557291666666667
"85";84;1,00393700787402;0,0604395604395604;0,958333333333333;0,116666666666667;0,1875;1,30909090909091;0,536458333333333
"86";85;1,00393700787402;0,0934065934065934;0,958333333333333;0,116666666666667;0,215277777777778;1,21818181818182;0,588541666666667
"87";86;1,00393700787402;0,0714285714285714;0,946428571428571;0,0833333333333333;0,201388888888889;1,23636363636364;0,494791666666667
"88";87;1,00393700787402;0,0384615384615385;0,946428571428571;0,0166666666666667;0,215277777777778;1,23636363636364;0,473958333333333
"89";88;1,00393700787402;0,0384615384615385;0,958333333333333;0,05;0,173611111111111;1,25454545454545;0,421875
"90";89;1,00393700787402;0,0494505494505495;0,970238095238095;0,05;0,145833333333333;1,2;0,473958333333333
"91";90;1,00393700787402;0,0494505494505495;0,982142857142857;0,116666666666667;0,1875;1,10909090909091;0,463541666666667
"92";91;1,00393700787402;0,0824175824175824;0,982142857142857;0,15;0,1875;1,12727272727273;0,432291666666667
"93";92;1,00393700787402;0,0824175824175824;0,982142857142857;0,116666666666667;0,215277777777778;1,10909090909091;0,380208333333333
"94";93;1,00393700787402;0,104395604395604;0,994047619047619;0,15;0,243055555555556;1,05454545454545;0,473958333333333
"95";94;1,00393700787402;0,148351648351648;0,970238095238095;0,05;0,423611111111111;1,09090909090909;0,567708333333333
"96";95;1,00393700787402;0,126373626373626;0,946428571428571;0,15;0,409722222222222;1,21818181818182;0,567708333333333
"97";96;1,00393700787402;0,17032967032967;0,970238095238095;0,116666666666667;0,368055555555556;1,30909090909091;0,505208333333333
"98";97;1,00393700787402;0,104395604395604;0,970238095238095;0,0833333333333333;0,409722222222222;1,29090909090909;0,453125
"99";98;1,00393700787402;0,181318681318681;0,93452380952381;0,15;0,409722222222222;1,25454545454545;0,453125
"100";99;1,00393700787402;0,192307692307692;0,982142857142857;0,116666666666667;0,381944444444444;1,14545454545455;0,453125
"101";100;1,00393700787402;0,214285714285714;0,994047619047619;0,0833333333333333;0,381944444444444;1,10909090909091;0,401041666666667
"102";101;1,00393700787402;0,247252747252747;1,00595238095238;0,0166666666666667;0,423611111111111;1,05454545454545;0,432291666666667
"103";102;1,00393700787402;0,192307692307692;0,994047619047619;0,05;0,451388888888889;1,05454545454545;0,411458333333333
"104";103;0,996062992125984;0,126373626373626;1,00595238095238;0,0833333333333333;0,4375;1,12727272727273;0,369791666666667
"105";104;0,996062992125984;0,159340659340659;1,00595238095238;0,0166666666666667;0,395833333333333;1,10909090909091;0,442708333333333
"106";105;1,00393700787402;0,137362637362637;1,00595238095238;0,0166666666666667;0,423611111111111;1,09090909090909;0,578125
